text,label
Fake miracle scheme number 289,0
Fake miracle scheme number 290,0
Fake miracle scheme number 291,0
Fake miracle scheme number 292,0
Fake miracle scheme number 293,0
Fake miracle scheme number 294,0
Fake miracle scheme number 295,0
Fake miracle scheme number 296,0
Fake miracle scheme number 297,0
Fake miracle scheme number 298,0
Fake miracle scheme number 299,0
Fake miracle scheme number 300,0
Fake miracle scheme number 301,0
Fake miracle scheme number 302,0
Fake miracle scheme number 303,0
Fake miracle scheme number 304,0
Fake miracle scheme number 305,0
Fake miracle scheme number 306,0
Fake miracle scheme number 307,0
Fake miracle scheme number 308,0
Fake miracle scheme number 309,0
Fake miracle scheme number 310,0
Fake miracle scheme number 311,0
Fake miracle scheme number 312,0
Fake miracle scheme number 313,0
Fake miracle scheme number 314,0
Fake miracle scheme number 315,0
Fake miracle scheme number 316,0
Fake miracle scheme number 317,0
Fake miracle scheme number 318,0
Fake miracle scheme number 319,0
Fake miracle scheme number 320,0
Fake miracle scheme number 321,0
Fake miracle scheme number 322,0
Fake miracle scheme number 323,0
Fake miracle scheme number 324,0
Fake miracle scheme number 325,0
Fake miracle scheme number 326,0
Fake miracle scheme number 327,0
Fake miracle scheme number 328,0
Fake miracle scheme number 329,0
Fake miracle scheme number 330,0
Fake miracle scheme number 331,0
Fake miracle scheme number 332,0
Fake miracle scheme number 333,0
Fake miracle scheme number 334,0
Fake miracle scheme number 335,0
Fake miracle scheme number 336,0
Fake miracle scheme number 337,0
Fake miracle scheme number 338,0
Fake miracle scheme number 339,0
Fake miracle scheme number 340,0
Fake miracle scheme number 341,0
Fake miracle scheme number 342,0
Fake miracle scheme number 343,0
Fake miracle scheme number 344,0
Fake miracle scheme number 345,0
Fake miracle scheme number 346,0
Fake miracle scheme number 347,0
Fake miracle scheme number 348,0
Fake miracle scheme number 349,0
Fake miracle scheme number 350,0
Fake miracle scheme number 351,0
Fake miracle scheme number 352,0
Fake miracle scheme number 353,0
Fake miracle scheme number 354,0
Fake miracle scheme number 355,0
Fake miracle scheme number 356,0
Fake miracle scheme number 357,0
Fake miracle scheme number 358,0
Fake miracle scheme number 359,0
Fake miracle scheme number 360,0
Fake miracle scheme number 361,0
Fake miracle scheme number 362,0
Fake miracle scheme number 363,0
Fake miracle scheme number 364,0
Fake miracle scheme number 365,0
Fake miracle scheme number 366,0
Fake miracle scheme number 367,0
Fake miracle scheme number 368,0
Fake miracle scheme number 369,0
Fake miracle scheme number 370,0
Fake miracle scheme number 371,0
Fake miracle scheme number 372,0
Fake miracle scheme number 373,0
Fake miracle scheme number 374,0
Fake miracle scheme number 375,0
Fake miracle scheme number 376,0
Fake miracle scheme number 377,0
Fake miracle scheme number 378,0
Fake miracle scheme number 379,0
Fake miracle scheme number 380,0
Fake miracle scheme number 381,0
Fake miracle scheme number 382,0
Fake miracle scheme number 383,0
Fake miracle scheme number 384,0
Fake miracle scheme number 385,0
Fake miracle scheme number 386,0
Fake miracle scheme number 387,0
Fake miracle scheme number 388,0
Fake miracle scheme number 389,0
Fake miracle scheme number 390,0
Fake miracle scheme number 391,0
Fake miracle scheme number 392,0
Fake miracle scheme number 393,0
Fake miracle scheme number 394,0
Fake miracle scheme number 395,0
Fake miracle scheme number 396,0
Fake miracle scheme number 397,0
Fake miracle scheme number 398,0
Fake miracle scheme number 399,0
Fake miracle scheme number 400,0
Fake miracle scheme number 401,0
Fake miracle scheme number 402,0
Fake miracle scheme number 403,0
Fake miracle scheme number 404,0
Fake miracle scheme number 405,0
Fake miracle scheme number 406,0
Fake miracle scheme number 407,0
Fake miracle scheme number 408,0
Fake miracle scheme number 409,0
Fake miracle scheme number 410,0
Fake miracle scheme number 411,0
Fake miracle scheme number 412,0
Fake miracle scheme number 413,0
Fake miracle scheme number 414,0
Fake miracle scheme number 415,0
Fake miracle scheme number 416,0
Fake miracle scheme number 417,0
Fake miracle scheme number 418,0
Fake miracle scheme number 419,0
Fake miracle scheme number 420,0
Fake miracle scheme number 421,0
Fake miracle scheme number 422,0
Fake miracle scheme number 423,0
Fake miracle scheme number 424,0
Fake miracle scheme number 425,0
Fake miracle scheme number 426,0
Fake miracle scheme number 427,0
Fake miracle scheme number 428,0
Fake miracle scheme number 429,0
Fake miracle scheme number 430,0
Fake miracle scheme number 431,0
Fake miracle scheme number 432,0
Fake miracle scheme number 433,0
Fake miracle scheme number 434,0
Fake miracle scheme number 435,0
Fake miracle scheme number 436,0
Fake miracle scheme number 437,0
Fake miracle scheme number 438,0
Fake miracle scheme number 439,0
Fake miracle scheme number 440,0
Fake miracle scheme number 441,0
Fake miracle scheme number 442,0
Fake miracle scheme number 443,0
Fake miracle scheme number 444,0
Fake miracle scheme number 445,0
Fake miracle scheme number 446,0
Fake miracle scheme number 447,0
Fake miracle scheme number 448,0
Fake miracle scheme number 449,0
Fake miracle scheme number 450,0
Fake miracle scheme number 451,0
Fake miracle scheme number 452,0
Fake miracle scheme number 453,0
Fake miracle scheme number 454,0
Fake miracle scheme number 455,0
Fake miracle scheme number 456,0
Fake miracle scheme number 457,0
Fake miracle scheme number 458,0
Fake miracle scheme number 459,0
Fake miracle scheme number 460,0
Fake miracle scheme number 461,0
Fake miracle scheme number 462,0
Fake miracle scheme number 463,0
Fake miracle scheme number 464,0
Fake miracle scheme number 465,0
Fake miracle scheme number 466,0
Fake miracle scheme number 467,0
Fake miracle scheme number 468,0
Fake miracle scheme number 469,0
Fake miracle scheme number 470,0
Fake miracle scheme number 471,0
Fake miracle scheme number 472,0
Fake miracle scheme number 473,0
Fake miracle scheme number 474,0
Fake miracle scheme number 475,0
Fake miracle scheme number 476,0
Fake miracle scheme number 477,0
Fake miracle scheme number 478,0
Fake miracle scheme number 479,0
Fake miracle scheme number 480,0
Fake miracle scheme number 481,0
Fake miracle scheme number 482,0
Fake miracle scheme number 483,0
Fake miracle scheme number 484,0
Fake miracle scheme number 485,0
Fake miracle scheme number 486,0
Fake miracle scheme number 487,0
Fake miracle scheme number 488,0
Fake miracle scheme number 489,0
Fake miracle scheme number 490,0
Fake miracle scheme number 491,0
Fake miracle scheme number 492,0
Fake miracle scheme number 493,0
Fake miracle scheme number 494,0
Fake miracle scheme number 495,0
Fake miracle scheme number 496,0
Fake miracle scheme number 497,0
Fake miracle scheme number 498,0
Fake miracle scheme number 499,0
